date,value
2020-01-02,-0.0007881536619781526
2020-01-03,-0.0007610554904970979
2020-01-06,0.0008910028357251853
2020-01-07,-0.00129094821337572
2020-01-08,0.013455036691176536
2020-01-09,0.028821532357856228
2020-01-10,0.028819931652308783
2020-01-13,0.04115989369888906
2020-01-14,0.0426127814908992
2020-01-15,0.04693233456481427
2020-01-16,0.05881844996086372
2020-01-17,0.052307584338198154
2020-01-21,0.04771013323181772
2020-01-22,0.04971498683876541
2020-01-23,0.0569977994512747
2020-01-24,0.0485336743727669
2020-01-27,0.025055010881736894
2020-01-28,0.03319557260240735
2020-01-29,0.03457270817977487
2020-01-30,0.03675080848107681
2020-01-31,0.015137308153652107
2020-02-03,0.03621625583940924
2020-02-04,0.049530107669527146
2020-02-05,0.058394755981376445
2020-02-06,0.06685169442500616
2020-02-07,0.06154298746057174
2020-02-10,0.06699850058450862
2020-02-11,0.0679359110655744
2020-02-12,0.0749822543585934
2020-02-13,0.07638492507931605
2020-02-14,0.08780762553999444
2020-02-18,0.09042601904927983
2020-02-19,0.09950307775606526
2020-02-20,0.07556424559212394
2020-02-21,0.05595491878431824
2020-02-24,0.023802852210320413
2020-02-25,-0.0010203169160849512
2020-02-26,0.003438525204600529
2020-02-27,-0.03560184902532071
2020-02-28,-0.04356053655969505
2020-03-02,-0.005177698309940637
2020-03-03,-0.0408250181585027
2020-03-04,0.007825829583809396
2020-03-05,-0.014475223176571017
2020-03-06,-0.03680476557123025
2020-03-09,-0.09116663036314099
2020-03-10,-0.04946546413508279
2020-03-11,-0.08998622056571326
2020-03-12,-0.16408652117917422
2020-03-13,-0.09689743054277655
2020-03-16,-0.20620711882130194
2020-03-17,-0.21675646719666108
2020-03-18,-0.25377066069526555
2020-03-19,-0.288296566552414
2020-03-20,-0.3121409812204633
2020-03-23,-0.3101625878243819
2020-03-24,-0.22603370497239073
2020-03-25,-0.1991264205530512
2020-03-26,-0.14411981756792547
2020-03-27,-0.15411045188803596
2020-03-30,-0.12216713490420494
2020-03-31,-0.12294332138723352
2020-04-01,-0.16482268672727995
2020-04-02,-0.1365757663682453
2020-04-03,-0.15197850973822624
2020-04-06,-0.08122749823324138
2020-04-07,-0.08582515256633716
2020-04-08,-0.07155678132659316
2020-04-09,-0.06890074553325154
2020-04-13,-0.0759766297201796
2020-04-14,-0.04208260290429011
2020-04-15,-0.05812059424543958
2020-04-16,-0.04283707341787246
2020-04-17,-0.02955476007783331
2020-04-20,-0.031211271464991475
2020-04-21,-0.06849126116567639
2020-04-22,-0.03139848176139237
2020-04-23,-0.028931699532848798
2020-04-24,-0.015590949483472505
2020-04-27,-0.0017630807228172785
2020-04-28,-0.03022891113988635
2020-04-29,0.0009616604706772502
2020-04-30,0.0028141840193196543
2020-05-01,-0.031089357826462605
2020-05-04,-0.014225979573018521
2020-05-05,0.009815283523533669
2020-05-06,0.01845657004641965
2020-05-07,0.048692629009516875
2020-05-08,0.047705488473105184
2020-05-11,0.0714220495127269
2020-05-12,0.04325085689966102
2020-05-13,0.028594337898750766
2020-05-14,0.0561850013490528
2020-05-15,0.05740339118383475
2020-05-18,0.07282987358871029
2020-05-19,0.06957651611500704
2020-05-20,0.08342378164856012
2020-05-21,0.07755851394095425
2020-05-22,0.0866133615913327
2020-05-26,0.08394535419763205
2020-05-27,0.10382161434400583
2020-05-28,0.10986575680384147
2020-05-29,0.1302190365886149
2020-06-01,0.1357705693246387
2020-06-02,0.1456438009358587
2020-06-03,0.15533726541764237
2020-06-04,0.14169289496010018
2020-06-05,0.15984738618953576
2020-06-08,0.15543959732646995
2020-06-09,0.15154455340351003
2020-06-10,0.16383597927331084
2020-06-11,0.10457752273598353
2020-06-12,0.11342436804602851
2020-06-15,0.1351676140281748
2020-06-16,0.14600465287476916
2020-06-17,0.15213191137924342
2020-06-18,0.15765934880944377
2020-06-19,0.16237942257540383
2020-06-22,0.17514252504528338
2020-06-23,0.17841798344178295
2020-06-24,0.15029155792267446
2020-06-25,0.16088495996874297
2020-06-26,0.13636474391761277
2020-06-29,0.1466684932905984
2020-06-30,0.17419596530936654
2020-07-01,0.17922132352477615
2020-07-02,0.19172435471450622
2020-07-06,0.219167781949553
2020-07-07,0.21229514774037184
2020-07-08,0.22964043809596824
2020-07-09,0.2373747324262374
2020-07-10,0.2321068473691439
2020-07-13,0.20091055458329143
2020-07-14,0.21858225158696443
2020-07-15,0.20999340010202405
2020-07-16,0.21364705052143562
2020-07-17,0.2289361662397218
2020-07-20,0.2476356833001534
2020-07-21,0.2468632999956133
2020-07-22,0.25153567416118894
2020-07-23,0.24093864233641682
2020-07-24,0.22421232350170128
2020-07-27,0.24195569798474303
2020-07-28,0.22469824774501568
2020-07-29,0.24792531348486957
2020-07-30,0.24765820518492188
2020-07-31,0.26898769436883274
2020-08-03,0.27461434033897536
2020-08-04,0.2812851324548704
2020-08-05,0.2827300998165665
2020-08-06,0.2855118595486754
2020-08-07,0.2826831325185313
2020-08-10,0.2846924173991281
2020-08-11,0.276077345462707
2020-08-12,0.29828739785804026
2020-08-13,0.2974076603478666
2020-08-14,0.28806169860648856
2020-08-17,0.30512208851868405
2020-08-18,0.3018714487136962
2020-08-19,0.29847377221530524
2020-08-20,0.30719567577751694
2020-08-21,0.30802326973257443
2020-08-24,0.32780959136720855
2020-08-25,0.33284438437241803
2020-08-26,0.34400402743339065
2020-08-27,0.34417863155481854
2020-08-28,0.3583311173252053
2020-08-31,0.3593270513501172
2020-09-01,0.3721887726673707
2020-09-02,0.39010180423687335
2020-09-03,0.33944833754408177
